0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0,1.0
0.0,0.183503419072,1.0
